isolate,country,arcC,aroE,glpF,gmk,pta,tpi,yqiL,ST (MLST),clonal_complex (MLST)
SRR445268,USA,3,35,19,2,20,26,39,398,
SRR445269,USA,3,485,19,2,20,26,39,185,
SRR445270,USA,3,35,440,2,20,26,39,191,
SRR445271,USA,3,485,19,2,20,26,39,185,
SRR445272,USA,3,485,19,2,20,26,39,185,
SRR445273,Denmark,3,35,19,2,20,26,39,398,
SRR445274,Denmark,3,35,19,2,20,26,39,398,
SRR445275,Denmark,3,35,19,2,20,26,39,398,
SRR445276,Finland,3,35,19,2,20,26,39,398,
SRR445277,Denmark,3,35,19,2,20,26,39,398,
SRR445278,Austria,3,35,19,2,20,26,39,398,
SRR445279,Belgium,3,35,19,2,20,26,39,398,
SRR445280,Denmark,3,35,19,2,20,26,39,398,
SRR445281,Denmark,3,35,19,2,20,26,39,398,
SRR445282,Denmark,,35,19,,20,26,39,,
SRR445283,Italy,3,35,19,2,20,26,39,398,
SRR445284,Austria,3,35,19,2,20,26,39,398,
SRR445285,Spain,3,35,19,2,20,26,39,398,
SRR445286,Slovenia,3,35,19,2,20,26,39,398,
SRR445287,Belgium,3,35,19,2,20,26,39,398,
SRR445288,Denmark,3,35,19,2,20,26,39,398,
SRR445289,Denmark,3,35,19,2,20,26,39,398,
SRR445290,Denmark,3,35,19,2,20,26,39,398,
SRR445291,Belgium,3,35,19,2,20,26,39,398,
SRR445293,USA,3,35,19,2,20,26,39,398,
ERR101899,UK,7,6,1,5,8,8,6,22,CC22
ERR103403,UK,7,6,1,5,8,8,6,22,CC22
ERR103404,UK,7,6,1,5,8,8,6,22,CC22
ERR103405,UK,7,6,1,5,8,8,6,22,CC22
ERR101900,UK,7,,1,5,8,8,6,,
ERR103394,UK,7,6,1,5,8,8,6,22,CC22
ERR103395,UK,1,4,1,4,12,1,10,5,CC5
ERR103396,UK,7,6,1,5,8,8,6,22,CC22
ERR103398,UK,1,1,1,1,1,1,1,1,CC1
ERR103399,UK,7,6,1,5,8,8,6,22,CC22
ERR103400,UK,7,6,1,5,8,8,6,22,CC22
ERR103402,UK,7,6,1,5,8,8,6,22,CC22
SRR016390,UK,2,2,2,2,6,3,2,30,CC30
ERR006466,Unknown,2,3,1,1,4,4,3,239,CC8
ERR006472,Unknown,2,,1,,4,4,3,,
SRR016399,UK,2,2,2,2,6,3,2,30,CC30
SRR493912,Unknown,1,4,1,4,12,1,28,105,CC5
SRR016782,USA,2,2,2,2,6,3,2,30,CC30
ERR006486,Unknown,2,3,1,1,,4,3,,
ERR006496,Unknown,2,3,1,1,4,4,3,239,CC8
SRR016389,USA,2,2,2,2,6,3,2,30,CC30
SRR016781,USA,2,2,2,2,6,3,2,30,CC30
SRR494917,Unknown,1,34,1,4,12,1,28,231,CC5
SRR016400,USA,2,2,2,2,6,3,2,30,CC30
SRR016391,USA,2,2,2,2,6,3,2,30,CC30
SRR016783,USA,2,2,2,2,6,3,2,30,CC30
SRR016393,Finland,2,2,2,2,3,3,2,36,CC30
ERR023500,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023503,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023506,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023512,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023515,Unknown,2,3,1,1,4,4,3,239,CC8
ERR017170,UK,7,6,1,5,8,8,6,22,CC22
ERR017173,Singapore,7,6,1,5,8,8,6,22,CC22
ERR017176,UK,7,6,1,5,8,8,6,22,CC22
ERR017181,Singapore,7,6,1,5,8,8,6,22,CC22
ERR017184,Unknown,358,6,1,5,8,8,6,236,CC22
ERR017604,Unknown,3,35,19,2,20,26,39,398,
ERR017607,Unknown,3,35,19,2,20,26,39,398,
ERR017610,Unknown,3,35,19,2,20,26,39,398,
ERR017614,Unknown,3,35,19,2,20,26,39,398,
ERR017617,Unknown,3,35,19,2,20,26,39,398,
ERR024669,Turkey,2,3,1,1,4,4,3,239,CC8
ERR024672,Turkey,2,3,1,1,4,4,3,239,CC8
ERR024675,Turkey,2,3,1,1,4,4,3,239,CC8
ERR024678,Turkey,2,3,1,1,4,4,3,239,CC8
ERR024682,Turkey,2,3,1,1,4,4,3,239,CC8
ERR029344,Singapore,7,6,1,5,8,8,6,22,CC22
ERR029347,Singapore,7,6,1,5,8,8,6,22,CC22
ERR029350,Singapore,7,6,1,5,8,8,6,22,CC22
ERR029353,Singapore,7,6,1,5,8,8,6,22,CC22
ERR029357,Singapore,7,6,1,5,8,8,6,22,CC22
ERR120359,UK,2,3,1,1,4,4,3,239,CC8
ERR120362,UK,2,3,1,1,4,4,3,239,CC8
ERR120365,UK,2,3,1,1,4,4,3,239,CC8
ERR120368,UK,2,3,1,1,4,4,3,239,CC8
ERR120371,UK,2,3,1,1,4,4,3,239,CC8
ERR033239,Belgium,10,14,8,6,10,3,2,45,CC45
ERR033242,Belgium,1,4,1,4,12,1,10,5,CC5
ERR033245,Belgium,3,3,1,1,4,4,3,8,CC8
ERR033248,Belgium,10,14,8,6,10,3,2,45,CC45
ERR033252,Unknown,2,2,2,2,6,3,2,30,CC30
ERR120479,UK,2,3,1,1,4,4,30,241,CC8
ERR033254,Unknown,10,,,,10,3,2,,
ERR048343,Unknown,2,3,1,1,4,4,3,239,CC8
ERR109269,Unknown,2,3,1,1,4,4,420,242,CC8
ERR044210,Unknown,2,3,1,1,4,4,3,239,CC8
ERR084496,UK,7,6,,5,8,8,6,,
ERR084691,Unknown,2,3,1,1,4,4,3,239,CC8
ERR084721,Unknown,6,193,45,2,7,58,52,1245,
ERR086064,USA,3,3,1,1,4,4,3,8,CC8
ERR070044,UK,258,6,1,5,8,8,6,2371,CC22
ERR048352,Unknown,2,3,1,1,4,4,3,239,CC8
ERR048356,Unknown,2,3,1,1,4,4,3,239,CC8
ERR048359,Unknown,2,3,1,1,4,4,3,239,CC8
ERR048362,Unknown,2,3,1,1,4,4,3,239,CC8
ERR048365,Unknown,2,3,1,1,4,4,3,239,CC8
ERR044166,Unknown,2,3,1,1,4,4,3,239,CC8
ERR044178,Unknown,2,3,1,1,4,4,3,239,CC8
ERR044190,Unknown,2,3,1,1,4,4,3,239,CC8
ERR044202,Unknown,2,3,1,1,4,4,3,239,CC8
ERR044214,Unknown,2,3,1,1,4,4,3,239,CC8
ERR084500,UK,7,6,1,5,8,8,6,22,CC22
ERR084503,UK,7,6,1,5,8,8,6,22,CC22
ERR084506,UK,7,6,1,5,8,8,6,22,CC22
ERR084509,UK,7,6,1,5,8,8,6,22,CC22
ERR084512,Unknown,1,1,1,1,1,1,1,1,CC1
ERR086054,USA,3,3,1,1,4,4,3,8,CC8
ERR086057,USA,3,3,1,1,4,4,3,8,CC8
ERR086060,Unknown,1,4,1,4,12,1,10,5,CC5
ERR086063,USA,3,3,1,1,4,4,3,8,CC8
ERR086066,USA,3,3,1,1,4,4,3,8,CC8
ERR072252,UK,7,6,1,5,8,8,6,22,CC22
ERR085402,UK,258,6,1,5,8,8,6,2371,CC22
ERR085405,UK,258,6,1,5,8,8,6,2371,CC22
ERR085408,UK,258,6,1,5,8,8,6,2371,CC22
ERR085411,UK,258,6,1,5,8,8,6,2371,CC22
ERR108044,Unknown,1,1,1,1,1,1,1,1,CC1
ERR108047,Unknown,1,4,1,4,12,41,10,149,CC5
ERR108050,Unknown,10,14,8,6,10,3,2,45,CC45
ERR108053,Unknown,10,14,8,6,10,3,2,45,CC45
ERR108056,Unknown,1,1,1,1,1,1,1,1,CC1
ERR108039,Unknown,10,14,8,6,10,3,2,45,CC45
ERR083697,UK,2,2,2,2,6,3,2,30,CC30
ERR083741,UK,13,13,1,1,12,11,13,15,CC15
ERR083719,UK,4,9,1,8,1,10,8,20,
SRR449536,Unknown,1,4,1,4,12,1,28,105,CC5
SRR492703,Unknown,1,4,1,4,12,1,10,5,CC5
SRR492666,Unknown,1,4,1,4,12,1,10,5,CC5
SRR492669,Unknown,1,4,1,4,12,1,10,5,CC5
SRR492672,Unknown,1,4,1,4,12,1,28,105,CC5
SRR492675,Unknown,1,34,1,4,12,1,28,231,CC5
SRR492678,Unknown,1,4,1,4,12,1,28,105,CC5
SRR497512,Unknown,1,4,1,4,12,1,28,105,CC5
ERR038377,Unknown,,153,6,2,38,50,5,,
ERR038386,Unknown,13,13,,1,12,11,13,,
SRR073304,Australia,1,1,1,1,1,1,1,1,CC1
SRR073227,Australia,1,1,1,1,1,1,1,1,CC1
SRR073305,Australia,2,2,2,2,6,3,2,30,CC30
SRR088295,Australia,2,3,1,1,4,4,3,239,CC8
SRR088296,Australia,2,3,1,1,4,4,3,239,CC8
SRR088297,Australia,2,3,1,1,4,4,3,239,CC8
SRR088298,Australia,2,3,1,1,4,4,3,239,CC8
SRR088300,Australia,2,3,1,1,4,4,3,239,CC8
SRR088302,Australia,2,3,1,1,4,4,3,239,CC8
SRR088301,Australia,2,3,1,1,4,4,3,239,CC8
ERR045851,Unknown,2,,2,2,6,3,2,,
ERR109270,Unknown,2,3,1,1,4,4,3,239,CC8
ERR109275,Unknown,2,3,1,1,4,4,3,239,CC8
ERR119000,Unknown,2,3,1,1,4,4,3,239,CC8
ERR119009,Unknown,2,3,1,1,4,4,3,239,CC8
ERR119047,Unknown,2,3,1,1,4,4,3,239,CC8
ERR046408,Unknown,2,3,1,1,4,4,3,239,CC8
SRR449531,Unknown,1,4,1,4,12,1,28,105,CC5
SRR016122,USA,1,4,1,4,12,1,10,5,CC5
SRR016130,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016131,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016139,USA,1,4,1,4,12,1,10,5,CC5
SRR016140,USA,1,4,1,4,12,1,10,5,CC5
SRR016144,USA,1,4,1,4,12,1,10,5,CC5
SRR016145,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016147,USA,1,4,1,4,12,1,10,5,CC5
SRR016149,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016153,USA,1,4,1,4,12,1,10,5,CC5
SRR016155,USA,1,4,1,4,12,1,10,5,CC5
SRR016156,USA,1,4,1,4,12,1,10,5,CC5
SRR279123,Unknown,1,1,1,1,1,1,1,1,CC1
SRR016124,Unknown,3,3,1,1,4,4,3,8,CC8
SRR016133,Unknown,3,3,1,1,4,4,3,8,CC8
SRR016138,USA,3,3,1,1,4,4,3,8,CC8
SRR016148,Unknown,3,3,1,1,4,4,3,8,CC8
ERR017251,Australia,7,6,1,5,8,8,6,22,CC22
ERR017259,Germany,359,6,1,5,8,8,6,244,CC22
SRR016125,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016127,Unknown,10,14,209,6,10,3,2,1892,CC45
SRR016132,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016134,Unknown,10,14,209,6,10,3,2,1892,CC45
SRR016135,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016136,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016137,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016141,Unknown,10,14,209,6,10,3,2,1892,CC45
SRR016142,Unknown,10,14,209,6,10,3,2,1892,CC45
SRR016143,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016146,Unknown,10,14,209,6,10,3,2,1892,CC45
SRR016150,Unknown,1,4,1,4,12,1,10,5,CC5
SRR016152,Unknown,1,4,1,4,12,1,10,5,CC5
SRR494945,Unknown,1,4,1,4,12,1,10,5,CC5
ERR127412,UK,22,1,14,23,12,4,31,88,
ERR127410,UK,22,1,14,23,12,4,31,88,
ERR127408,UK,22,1,14,23,12,4,31,88,
ERR127414,UK,22,1,14,23,12,4,31,88,
ERR127409,UK,22,1,14,23,12,4,31,88,
ERR127415,UK,22,1,14,23,12,4,31,88,
ERR127413,UK,22,1,14,23,12,4,31,88,
ERR127411,UK,22,1,14,23,12,4,31,88,
ERR127441,UK,2,2,2,2,6,3,2,30,CC30
ERR127446,UK,2,2,2,2,6,3,2,30,CC30
ERR127442,UK,1,4,1,4,12,1,10,5,CC5
ERR127443,UK,12,4,1,4,12,1,3,6,CC5
ERR127447,UK,13,13,1,1,12,11,13,15,CC15
ERR127444,UK,13,13,1,1,12,11,13,15,CC15
ERR127448,UK,13,13,1,1,12,11,13,15,CC15
ERR127445,UK,3,3,1,1,4,4,3,8,CC8
ERR127432,UK,1,1,1,1,22,1,1,772,CC1
ERR127433,UK,1,1,1,1,22,1,1,772,CC1
ERR127429,UK,1,1,1,1,22,1,1,772,CC1
ERR127428,UK,1,1,1,1,22,1,1,772,CC1
ERR127426,UK,1,1,1,1,22,1,1,772,CC1
ERR127427,UK,1,1,1,1,22,1,1,772,CC1
ERR127431,UK,1,1,1,1,22,1,1,772,CC1
ERR127430,UK,1,1,1,1,22,1,1,772,CC1
ERR127416,UK,22,1,14,23,12,4,31,88,
ERR127417,UK,22,1,14,23,12,4,31,88,
SRR453031,UK,2,2,2,2,3,3,2,36,CC30
SRR453032,UK,2,2,2,2,3,3,2,36,CC30
SRR453033,UK,2,2,2,2,3,3,2,36,CC30
SRR453034,UK,2,2,2,2,3,3,2,36,CC30
SRR453035,UK,2,2,2,2,3,3,2,36,CC30
SRR453036,UK,2,2,2,2,6,3,2,30,CC30
SRR453037,UK,2,2,2,2,3,3,2,36,CC30
SRR453038,UK,2,2,2,2,3,3,2,36,CC30
SRR453039,UK,2,2,2,2,3,3,2,36,CC30
SRR453040,UK,2,2,2,2,3,3,2,36,CC30
SRR453041,UK,2,2,2,2,3,3,2,36,CC30
SRR453042,UK,2,2,2,2,3,3,2,36,CC30
SRR453043,UK,2,2,2,2,3,3,2,36,CC30
SRR453044,UK,2,2,2,2,3,3,2,36,CC30
SRR453045,UK,2,2,2,2,3,3,2,36,CC30
SRR453046,UK,2,2,2,2,3,3,2,36,CC30
SRR453047,Denmark,2,2,2,2,3,,2,,
SRR453054,UK,2,2,2,2,3,3,2,36,CC30
SRR453074,Hungary,2,2,2,2,3,3,2,36,CC30
SRR453075,Ireland,2,2,2,2,3,3,2,36,CC30
SRR453076,USA,2,2,2,2,71,3,2,500,CC30
ERR064898,Australia,2,3,1,1,4,4,3,239,CC8
ERR064899,USA,2,3,1,1,4,4,3,239,CC8
ERR064900,USA,2,3,1,1,4,4,3,239,CC8
ERR064901,USA,2,3,1,1,4,4,3,239,CC8
ERR064902,Greece,2,3,1,1,4,4,3,239,CC8
ERR064903,Greece,2,3,1,1,4,4,3,239,CC8
ERR064904,Greece,2,3,1,1,4,4,3,239,CC8
ERR064905,Turkey,4,1,4,1,5,5,4,25,
ERR064906,Turkey,2,3,1,1,4,4,3,239,CC8
ERR064907,Czech Republic,2,3,1,1,4,4,3,239,CC8
ERR064908,Turkey,2,3,1,1,4,4,3,239,CC8
ERR064909,Hungary,2,3,1,1,4,4,3,239,CC8
ERR064911,Uruguay,2,3,1,1,4,148,3,1225,CC8
ERR064912,Czech Republic,65;162,3,1,1,4,4,3,501;1329,CC8
ERR064913,Brazil,2,3,1,1,4,4,3,239,CC8
ERR064914,Brazil,2,3,1,1,4,4,3,239,CC8
ERR064915,Chile,2,3,1,1,4,4,3,239,CC8
ERR064916,Chile,2,3,1,1,4,4,3,239,CC8
ERR064917,Brazil,2,3,1,1,4,4,3,239,CC8
ERR064918,Brazil,2,3,1,1,4,4,3,239,CC8
ERR064919,Argentina,2,3,1,1,4,4,3,239,CC8
ERR064920,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064921,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064922,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064923,Argentina,2,3,378,1,4,4,3,174,CC8
ERR064924,Argentina,,65,1,,12,1,10,,
ERR064925,Uruguay,2,3,1,1,4,4,3,239,CC8
ERR064926,Argentina,2,3,1,1,4,4,3,239,CC8
ERR064927,Hungary,2,3,1,1,4,4,3,239,CC8
ERR064928,Hungary,2,3,1,1,4,4,3,239,CC8
ERR064929,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064930,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064931,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064932,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064933,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064934,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064935,Portugal,2,3,1,1,4,4,3,239,CC8
ERR064936,Greece,1,4,1,8,4,4,3,72,CC8
ERR064937,China,2,3,1,1,4,4,3,239,CC8
ERR064938,China,2,3,1,1,4,4,3,239,CC8
ERR064939,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064940,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064941,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064942,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064943,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064944,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064945,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064946,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064947,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064948,Denmark,2,3,1,1,4,4,3,239,CC8
ERR064949,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064950,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064951,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064952,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064953,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064954,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064955,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064956,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064957,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064958,Thailand,2,3,1,1,4,4,3,239,CC8
ERR064959,Thailand,2,3,1,1,4,4,3,239,CC8
ERR017268,Germany,7,6,1,5,8,8,6,22,CC22
ERR017278,Germany,7,6,1,5,8,8,6,22,CC22
ERR017293,Germany,7,6,1,5,8,8,6,22,CC22
ERR017300,Germany,7,6,1,5,8,8,6,22,CC22
ERR022145,Unknown,3,35,19,2,20,26,39,398,
ERR022173,Unknown,3,,19,2,20,26,39,,
SRR022829,Unknown,3,3,1,1,4,4,,,
SRR022830,Unknown,,3,1,1,4,4,3,,
ERR024964,Malaysia,2,3,1,1,4,4,3,239,CC8
SRR022832,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022833,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022834,Unknown,,3,1,1,,4,3,,
SRR022835,Unknown,3,3,1,1,4,4,3,8,CC8
ERR024976,Turkey,2,3,1,1,4,4,3,239,CC8
SRR022837,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022838,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022839,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022840,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022841,Unknown,3,3,1,1,4,4,,,
SRR022842,Unknown,3,3,1,1,4,4,3,8,CC8
ERR024990,Unknown,2,3,1,1,4,4,3,239,CC8
ERR026667,Turkey,2,3,1,1,4,4,3,239,CC8
ERR026700,Unknown,2,3,1,1,4,4,3,239,CC8
ERR029391,Singapore,7,6,1,5,8,8,6,22,CC22
SRR022847,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022848,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022849,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022850,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022851,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022852,Unknown,3,3,1,1,4,4,3,8,CC8
ERR029473,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030214,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030263,Singapore,2,3,1,1,4,4,3,239,CC8
ERR031671,Singapore,2,3,1,1,4,4,3,239,CC8
ERR120394,UK,2,2,2,2,3,3,2,36,CC30
ERR120408,UK,3,3,1,1,4,4,3,8,CC8
ERR120447,UK,2,2,2,2,3,3,2,36,CC30
ERR120472,UK,2,3,1,1,4,4,3,239,CC8
ERR033279,Unknown,8,2,2,2,6,3,2,34,CC30
ERR033327,Unknown,2,2,,2,6,3,2,,
ERR033380,Denmark,3,1,14,15,11,19,3,101,
SRR022864,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022865,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022866,Unknown,3,3,1,1,4,4,3,8,CC8
SRR022867,Unknown,,3,1,1,4,4,3,,
ERR033430,Unknown,1,26,28,18,18,33,50,89,
ERR033516,Portugal,13,13,1,1,12,11,13,15,CC15
ERR033652,Germany,3,3,1,1,4,4,3,8,CC8
ERR038358,Unknown,10,,8,6,10,3,2,,
SRR088299,Australia,2,3,1,1,4,4,3,239,CC8
SRR304676,Unknown,2,2,2,2,6,3,2,30,CC30
SRR304677,Unknown,2,2,2,2,6,3,2,30,CC30
SRR304678,Unknown,2,2,2,2,6,3,2,30,CC30
SRR404118,India,1,1,1,1,22,1,1,772,CC1
ERR038659,France,8,2,2,2,6,3,2,34,CC30
ERR006550,Unknown,2,3,1,1,4,4,3,239,CC8
ERR006574,Unknown,2,,1,1,4,4,3,,
ERR023863,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023883,Unknown,2,3,1,1,4,4,3,239,CC8
ERR023901,Unknown,2,3,1,1,4,4,3,239,CC8
ERR033072,Unknown,2,3,1,1,4,4,3,239,CC8
ERR033826,Unknown,2,3,1,1,4,4,3,239,CC8
ERR017203,Portugal,7,6,1,5,8,8,6,22,CC22
ERR017215,Portugal,7,6,1,5,8,8,6,22,CC22
ERR017225,Germany,7,6,1,5,8,8,6,22,CC22
ERR006514,Unknown,2,3,1,1,4,4,3,239,CC8
ERR006562,Unknown,2,3,1,1,4,4,3,239,CC8
ERR033820,Unknown,2,3,1,1,4,4,3,239,CC8
ERR017194,Germany,7,6,1,5,8,8,6,22,CC22
ERR017238,Czech Republic,7,6,1,5,8,8,6,22,CC22
ERR017285,Germany,7,6,1,5,8,8,6,22,CC22
ERR017642,Unknown,3,35,19,2,20,26,39,398,
ERR022159,Unknown,3,35,19,2,20,26,39,398,
ERR024692,Turkey,2,3,1,1,4,4,3,239,CC8
ERR025804,Lithuania,2,3,1,1,4,4,3,239,CC8
ERR026653,Turkey,2,3,1,1,4,4,3,239,CC8
ERR026678,Turkey,2,3,1,1,4,4,3,239,CC8
ERR026692,Turkey,2,3,1,1,4,4,3,239,CC8
ERR029373,Singapore,7,6,1,5,8,8,6,22,CC22
ERR029463,Singapore,7,6,1,5,8,8,6,22,CC22
ERR030155,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030181,Singapore,7,6,1,5,8,8,6,22,CC22
ERR030198,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030227,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030245,Singapore,2,3,1,1,4,4,3,239,CC8
ERR030275,Singapore,2,3,1,1,4,4,3,239,CC8
ERR120381,UK,7,6,1,5,8,8,6,22,CC22
ERR120425,UK,7,6,1,5,8,8,6,22,CC22
ERR120438,UK,2,3,1,1,4,4,30,241,CC8
ERR120459,UK,2,2,2,2,3,3,2,36,CC30
ERR103401,UK,7,6,1,5,8,8,6,22,CC22
ERR033266,Unknown,3,1,14,15,11,19,3,101,
ERR033294,Spain,1,4,1,4,12,1,54,125,CC5
ERR033312,Austria,1,1,1,1,1,1,1,1,CC1
ERR033341,Bulgaria,2,2,2,151,6,3,2,1829,CC30
ERR033361,Czech Republic,3,35,19,2,20,26,39,398,
ERR033418,Croatia,13,13,1,218,12,11,13,2865,CC15
ERR033466,Germany,7,6,1,5,8,8,6,22,CC22
SRR016128,Unknown,1,4,1,4,12,1,10,5,CC5
ERR033490,Germany,13,13,1,1,12,10,13,582,CC15
SRR017367,Unknown,1,4,,4,12,1,,,
